English,Czech
waitress,servírka
nurses,sestry
glenn,Glenn
spite,zášť
rebel,rebel
clearing,clearing
andre,andre
fortunate,šťastný
survivors,přeživší
reply,odpověď
disappoint,zklamat
orbit,obíhat
expose,odhalit
gin,gin
austin,Austin
toe,prst
sympathy,sympatie
intel,intel
growth,růst
psychiatrist,psychiatr
m.,m.
slams,bouchne
encounter,setkání
daphne,lýkovec
passenger,cestující
monkeys,opice
accompany,doprovázet
hats,klobouky
column,sloupec
sigh,povzdech
pounding,bušení
economic,hospodářský
tales,příběhy
theirs,jejich
brat,spratek
follows,následovně
spreading,šířit
sister-in-law,švagrová
burt,Burt
hilarious,povedený
hallway,chodba
hamilton,hamilton
the-,the-
exclusive,výhradní
chimes,zvonkohra
greet,pozdravit
decades,dekády
bowling,kuželky
buttons,tlačítka
confusion,zmatek
thud,bouchnutí
hooker,šlapka
ruining,zničit
dreadful,strašlivý
collecting,sbírání
lions,lvi
sheila,Sheila
douglas,douglaska
february,Únor
elvis,Elvis
forty,čtyřicet
sleeps,spí
sung,sung
brass,mosaz
shrink,zmenšit
zack,Zack
whimpers,zakňourá
sworn,přísahat
email,e-mailem
proven,dokázaný
tasty,Chutný
covers,kryty
sandwiches,sendviče
rarely,zřídka
wyatt,Wyatt
programme,program
irene,irene
dee,dee
contacted,kontaktovala
chemistry,chemie
assured,sebejistý
applied,aplikovaný
elected,zvolený
subjects,předměty
lust,chtíč
label,označení
shakespeare,Shakespeare
tan,opálení
ego,ego
forgiven,odpuštěný
phoenix,Fénix
companion,společník
lottery,loterie
worm,červ
publicity,publicita
butterfly,motýl
dialogue,dialog
cal,CAL
2nd,2.
tremendous,obrovský
pervert,zvrhlík
establish,zřídit
dearest,nejdražší
intimate,intimní
eager,dychtivý
se,se
cathy,Cathy
atlantic,atlantický
contains,obsahuje
thompson,Thompson
shirley,Shirley
bets,sázky
inhales,inhaluje
presentation,představení
allergic,alergický
den,doupě
wells,studny
spoiled,zkažený
chen,chen
accomplished,dokonalý
repay,splatit
politicians,politici
logic,logika
gratitude,vděčnost
afghanistan,Afghánistán
exception,výjimka
ultimately,nakonec
pablo,pablo
compromise,kompromis
majority,většina
journal,časopis
signals,signály
bent,ohnutý
dock,dok
meg,meg
essential,nezbytný
campbell,Campbell
climate,podnebí
experiments,pokusy
ink,inkoust
magazines,časopisy
rivers,řek
teresa,teresa
administration,správa
passionate,vášnivý
precise,přesný
lawn,trávník
via,přes
jeans,džíny
murmuring,reptání
resort,letovisko
announced,"oznámila,"
buddha,Buddha
fries,hranolky
capacity,kapacita
lena,lena
opponent,oponent
chains,řetězy
minus,mínus
caitlyn,Caitlyn
apples,jablka
angie,angie
seattle,seattle
aww,aww
instrument,nástroj
healing,léčení
convention,konvence
messenger,posel
explore,prozkoumat
sonia,Sonia
versus,proti
survivor,Pozůstalý
ruled,rozhodl
boyd,Boyd
clarence,clarence
madison,madison
cough,kašel
experts,Odborníci
disguise,přestrojení
archer,lukostřelec
bicycle,jízdní kolo
noises,zvuky
inviting,lákavý
pregnancy,těhotenství
declared,deklaroval
yi,yi
vicky,vicky
drums,bicí
wooden,dřevěný
innocence,nevinnost
mouths,ústa
bees,včely
creaking,vrzání
cloth,tkanina
sasha,Sasha
unh,unh
skies,nebe
painter,malíř
allies,spojenci
miguel,miguel
pond,rybník
runway,přistávací dráha
robbie,Robbie
assist,asistovat
lana,lana
presented,prezentovány
mona,mona
sickness,nemoc
civilian,civilní
fighters,bojovníci
facebook,Facebook
customs,celní
florence,Florence
remembers,pamatuje
sharks,žraloci
juliet,juliet
shrimp,garnát
tore,roztrhl
seventh,sedmý
ou,ou
avoiding,vyhýbat
dawson,Dawson
isaac,isaac
rolled,válcované
championship,mistrovství
household,Domácnost
float,plovák
chad,chad
ballet,balet
cracking,praskání
raj,raj
possessed,vlastnil
harmless,neškodný
curiosity,zvědavost
vicious,zlý
officials,úředníci
glove,rukavice
nearest,nejbližší
manny,Manny
begged,prosil
que,que
withdraw,ustoupit
shocking,skandální
guessed,hádal
nightmares,noční můry
greedy,chamtivý
forehead,čelo
corps,sbor
pirates,piráti
rudy,rudy
reservation,rezervace
hunters,lovci
fog,mlha
flu,chřipka
good-looking,dobře vypadající
hint,náznak
peanut,arašíd
stark,příkrý
gamble,hazardovat
erin,Erin
autumn,podzim
bracelet,náramek
contain,obsahovat
arrogant,arogantní
simpson,simpson
piper,dudák
knocks,klepe
sperm,spermie
gesture,gesto
materials,materiály
lindsay,Lindsay
alexis,alexis
ticking,tikot
standards,standardy
ribs,žebra
receipt,účtenka
regards,pozdravy
whatsoever,vůbec
homeland,vlast
leap,skok
targets,cíle
snoring,chrápání
damon,Damon
leaf,list
jar,sklenice
brooke,Brooke
proposed,navrhované
savage,krutý
caring,laskavý
ivy,břečťan
approximately,přibližně
d.,d.
kidnap,unést
carries,nese
bounce,odskočit
creek,zátoka
pony,poník
cleaner,Čistič
businessman,podnikatel
ha-ha,Haha
lunatic,blázen
unlikely,nepravděpodobný
gal,gal
situations,situací
colony,kolonie
sells,prodává
choi,choi
chambers,komory
volume,hlasitost
sweets,cukroví
panties,kalhotky
respects,pozdravy
reads,čte
seeds,semena
engage,zaměstnat
explosives,výbušniny
stewart,Stewart
violet,fialový
mutual,vzájemný
lighting,osvětlení
scores,skóre
lenny,lenny
savings,úspory
beware,pozor
stephanie,Stephanie
educated,vzdělaný
complaints,stížnosti
cassie,Cassie
doomed,odsouzena k zániku
offensive,urážlivý
harvest,sklizeň
qualified,kvalifikovaný
relaxed,uvolněný
cape,pelerína
buffalo,buvol
triple,trojnásobný
fireworks,ohňostroj
palmer,Palmer
armor,brnění
poverty,chudoba
leadership,vedení lidí
rode,jel
ambition,ctižádost
cakes,koláče
trousers,kalhoty
bean,fazole
melt,tát
racist,rasista
bam,bam
ankle,kotník
occupied,obsazený
nicer,hezčí
correctly,správně
terrifying,děsivé
hugh,Hugh
gasp,lapat po dechu
villain,darebák
willy,willy
marc,marc
draft,návrh
factor,faktor
whew,Páni
countess,hraběnka
portrait,portrét
suggests,navrhne
font,font
blair,Blair
learnt,naučil se
pencil,tužka
coordinates,souřadnice
collapsed,zhroutila
reserve,rezervovat
jeffrey,Jeffrey
shirts,košile
umbrella,deštník
stevie,stevie
ta,ta
traveled,cestoval
auto,auto
logical,logický
chew,žvýkat
eliminate,odstranit
beverly,Beverly
carbon,uhlík
cancelled,zrušený
crawling,plazení
stepping,krokování
independence,nezávislost
medium,střední
canceled,zrušený
tess,tess
fanny,číča
seated,sedící
upbeat,pozitivní
asian,asijský
drowning,utonutí
messy,chaotický
quest,hledání
represents,Zastupuje
fletcher,Fletcher
memorial,pamětní
doyle,Doyle
stressed,zdůraznil
bearing,ložisko
watches,hodinky
spoon,lžíce
cooperation,spolupráce
tucker,Tucker
earthquake,zemětřesení
sailing,plachtění
involve,zahrnout
houston,Houston
asia,Asie
spectacular,okázalý
reliable,spolehlivý
it-,to-
breach,porušení
sophisticated,sofistikovaný
echo,echo
indicate,ukazovat
swamp,bažina
vehicles,vozidla
manual,manuál
elegant,elegantní
compound,sloučenina
serves,Slouží
scares,zděšení
rattling,klapání
pursue,usilovat
dreamt,snil
stefan,Stefan
revolutionary,revoluční
wa,wa
rig,takeláž
convincing,přesvědčivý
fiona,fiona
tribal,kmenový
cleveland,Cleveland
lex,lex
depth,hloubka
blaming,obviňovat
aids,AIDS
elaine,Elaine
wakes,brázdy
occur,nastat
1st,1.
camping,kempování
fart,prd
stamp,razítko
kathy,kathy
assassin,vrah
approved,schválený
crucial,rozhodující
annual,roční
torch,pochodeň
dallas,dallas
fulfill,splnit
bon,bon
resting,odpočívá
reunion,shledání
witnessed,svědky
graduated,stupnicí
sub,sub
howling,vyjící
clyde,clyde
hospitals,nemocnice
stall,stánek
legacy,dědictví
otto,otto
riot,povstání
shops,obchody
whereabouts,místo pobytu
teenager,teenager
samuel,samuel
squealing,ječení
mines,doly
danced,tancovali
crowded,přeplněný
orleans,orleans
literature,literatura
3rd,3.
morgue,márnice
strongest,nejsilnější
agnes,Agnes
transmission,přenos
20th,20.
panel,panel
sole,jediný
sequence,sekvence
sexually,pohlavně
o.k.,OK.
georgie,Georgie
hugo,hugo
denny,Denny
smack,plácnutí
congratulate,blahopřejeme
anxiety,úzkost
choking,dušení
tolerate,tolerovat
mode,režim
communications,komunikace
welfare,blaho
dice,kostky
orphan,sirotek
locks,zámky
settlement,vyrovnání
advertising,reklamní
uniforms,uniformy
mcgee,McGee
devoted,oddaný
shoots,výhony
principles,zásady
circuit,obvod
nickname,přezdívka
dot,tečka
elderman,elderman
scenario,scénář
choir,pěvecký sbor
stunt,zakrnět
smoked,uzený
isolated,izolovaný
equally,stejně
statements,prohlášení
gil,gil
shaw,Shaw
lipstick,rtěnka
courtesy,zdvořilost
hobby,hobby
hesitate,váhat
hatch,poklop
luis,Luis
sylvia,sylvia
phoned,telefonoval
experiences,zkušenosti
popped,odebere
quid,libra
fragile,křehký
husbands,manželé
fiction,beletrie
persuade,přesvědčit
pastor,pastor
dolls,panenky
pose,póza
ji,Ji
ming,ming
rupees,rupií
tricked,Podvedl
ruins,zřícenina
sadly,smutně
owed,dlužil
importantly,důležitější
louie,Louie
industrial,průmyslový
musician,hudebník
labour,práce
evolution,vývoj
salute,pozdrav
ba,ba
cent,cent
bartender,barman
calendar,kalendář
hal,hal
miracles,zázraky
balcony,balkón
horny,nadržený
regard,považovat
valerie,Valerie
fold,složit
organs,orgány
nigel,Nigel
theo,theo
einstein,Einstein
boris,boris
suitable,vhodný
inaudible,neslyšitelný
son-in-law,zeť
melody,melodie
phillip,Phillip
movements,pohyby
differences,rozdíly
barbecue,grilování
trading,obchodování
strongly,silně
fluid,tekutina
scholarship,stipendium
translation,překlad
cricket,kriket
shuttle,kyvadlová doprava
moans,sténání
quicker,rychleji
picks,výběry
murderers,vrahové
videos,videa
initial,počáteční
perimeter,obvod
questioned,zpochybňována
yea,ano
cousins,bratranci
divided,rozdělený
linked,spojen
laboratory,laboratoř
but,ale
crab,krab
pulls,táhne
landlord,hostinský
reggie,Reggie
hostile,nepřátelský
classified,klasifikovaný
cultural,kulturní
measures,opatření
update,Aktualizace
cottage,chalupa
backyard,zadní dvorek
amateur,amatér
chopper,vrtulník
rash,vyrážka
despair,zoufalství
honorable,ctihodný
shiny,lesklý
hawk,jestřáb
shorts,šortky
ni,ni
representative,zástupce
wong,Wong
pouring,nalévání
distress,nouze
tanner,koželuh
telegram,telegram
pimp,pasák
dip,ponoření
trophy,trofej
marilyn,marilyn
hallelujah,Aleluja
neal,Neal
es,es
howdy,howdy
misses,mine
flush,proud
magician,kouzelník
dynamite,dynamit
cuba,cuba
conquer,dobýt
unpleasant,nepříjemný
jealousy,žárlivost
regrets,lituje
lifted,zvednout
increased,zvýšená
toxic,toxický
broadway,broadway
sakes,dobro
pudding,pudink
rally,shromáždění
needing,potřebují
bloom,květ
corporation,korporace
buys,nakupuje
disorder,porucha
interrupting,přerušování
sadness,smutek
needn,Nemusíš
cease,přestanou
barnes,Barnes
scoundrel,ničema
sensible,rozumný
evans,Evans
specialist,specialista
dragging,přetahování
bribe,úplatek
burke,Burke
bothers,obtěžuje
interrogation,výslech
prescription,předpis
referring,předkládající
knives,nože
graduation,promoce
t-shirt,tričko
liking,záliba
bubbles,bubliny
grid,mřížka
haircut,střih
regardless,bez ohledu na
lodge,lóže
poisoning,otrava
feathers,peří
edgar,Edgar
software,software
marina,přístav
sophia,sophia
queens,královny
oak,dub
trips,výlety
scaring,plašení
avery,avery
awhile,chvíli
sofa,pohovka
conscious,vědom
swords,meče
instincts,instinkty
deliberately,záměrně
starve,vyhladovět
j.,j.
venus,Venuše
olive,olivový
maniac,maniak
psychological,psychologický
robinson,robinson
soo,soo
belle,kráska
landscape,krajina
straw,sláma
dam,přehrada
mandy,Mandy
sayin,sayin
accuse,obvinit
is-,je-
rehab,léčebna
switzerland,švýcarsko
agenda,denní program
glue,lepidlo
salesman,prodavač
diner,večeře
projects,projekty
floors,podlahy
mainly,hlavně
biological,biologický
sincere,upřímný
weigh,vážit
pad,podložka
swiss,švýcarský
cue,tágo
witches,čarodějnice
opposed,protichůdný
brand-new,zcela nový
tourists,turisté
sneaking,plížení
harvard,Harvard
spying,špionážní
sketch,skica
parliament,parlament
behold,spatřit
blamed,obviňoval
topic,téma
offices,úřady
sacrificed,obětovaný
loop,smyčka
drivers,Řidiči
battles,bitvy
blond,blond
plead,prosit
races,dostihy
tanya,tanya
salmon,losos
bizarre,bizarní
rico,rico
isabel,Isabel
wig,paruka
reaches,sáhne
heights,výšky
i-i-i,i-i-i
possibilities,možnosti
wax,vosk
travels,cesty
confidential,důvěrný
pursuit,pronásledování
herd,stádo
scissors,nůžky
cd,CD
spies,špioni
exams,zkoušky
invention,vynález
explaining,vysvětlující
replacement,"výměna, nahrazení"
bombing,bombardování
erik,erik
springs,prameny
chelsea,chelsea
sabrina,sabrina
kicks,kopy
integrity,integrita
dash,pomlčka
jae,jae
senate,senát
mentally,mentálně
flee,uprchnout
gangster,gangster
beautifully,krásně
roberts,Roberts
slim,štíhlý
choosing,výběrem
promising,slibný
objective,objektivní
joyce,Joyce
altogether,celkem
attract,přitahovat
ernie,Ernie
melanie,Melanie
prep,přípravka
neighbours,sousedé
nailed,přibil
briefcase,aktovka
buzzer,bzučák
quitting,Ukončení
puppet,loutka
restore,obnovit
dozens,mnoho
betting,sázení
pancakes,palačinky
corridor,koridor
embarrass,Embarrass
visits,návštěvy
database,databáze
cheryl,Cheryl
achieved,dosaženo
sucking,sání
encourage,podporovat
grades,stupně
gps,gps
barks,kůry
patterns,vzory
relevant,relevantní
mafia,mafie
hudson,hudson
expense,výdaj
intact,neporušený
occasionally,občas
kiddo,děcko
heartbeat,tlukot srdce
identical,identický
cigar,doutník
billions,miliardy
alec,Alec
gained,získané
venice,Benátky
classical,klasický
noodles,nudle
consistent,důsledný
clip,klip
resign,odstoupit
insects,hmyz
failing,nedostatek
organic,organický
seize,chytit
charging,nabíjení
mug,džbánek
iris,duhovka
crow,vrána
ella,ella
fountain,kašna
observation,pozorování
abortion,potrat
railroad,železnice
straighten,narovnat
legitimate,legitimní
sting,bodnutí
youngest,nejmladší
fork,Vidlička
du,du
flynn,Flynn
ciao,Čau
coroner,koroner
jonas,jonas
marching,pochodující
touches,doteky
jade,nefrit
feared,obával
griffin,griffin
expedition,expedice
forcing,nucení
neighbour,soused
digital,digitální
deeds,skutky
milan,Milán
bernie,Bernie
a-,A-
attic,podkroví
jr,jr
whores,děvky
sentimental,sentimentální
cooler,chladič
eun,Eun
bert,bert
feds,federálové
reese,Reese
plea,námitka
polly,máňa
metres,metry
harmony,harmonie
difficulty,obtížnost
bands,pásy
dried,vysuší
aunty,tetička
maker,výrobce
randall,Randall
supporting,vedlejší
brake,brzda
girlfriends,přítelkyně
features,funkce
photography,fotografování
vengeance,pomsta
inappropriate,nemístný
vacuum,vakuum
throws,hází
kane,kane
residents,obyvatelé
endure,vydržet
substance,látka
corrupt,zkažený
potter,hrnčíř
investigator,vyšetřovatel
thread,vlákno
it,to
priests,kněží
gap,mezera
whining,kňučení
scarf,šátek
institution,instituce
immortal,nesmrtelný
marsh,bažina
chapel,kaple
desperately,zoufale
accidents,nehody
alcoholic,alkoholik
fabric,tkanina
nazis,nazis
railway,železnice
sal,sal
dame,dáma
rebels,rebelové
custom,Zvyk
pension,důchod
cans,plechovky
possess,mít
kira,Kira
poster,plakát
developing,rozvíjející se
addict,narkoman
feature,Vlastnosti
cope,zvládnout
lords,páni
delightful,lahodný
wrestling,zápas
c.,C.
rio,rio
reduce,snížit
rescued,zachráněn
peg,kolík
mercedes,mercedes
guaranteed,zaručena
emotionally,citově
poland,Polsko
accountant,účetní
theories,teorie
me-,mě-
tumor,nádor
automatic,automatický
amusing,zábavný
unnecessary,zbytečný
higgins,Higgins
voting,hlasování
buster,buster
stadium,stadión
visible,viditelný
easter,velikonoční
jeep,džíp
dj,dj
les,les
garcia,garcia
tracked,pásová
ignorant,neznalý
pledge,slib
deserted,opuštěný
esther,Ester
rum,rum
fisher,rybář
wheelchair,invalidní vozík
salvation,spása
lester,Lester
wonders,divy
clattering,rachotem
don`t,Dostávám peníze od rodičů
maintenance,údržba
tobacco,tabák
underwater,podvodní
divide,rozdělit
slightest,sebemenší
discount,sleva
yoga,jóga
vagina,vagína
rushing,řítí
modest,skromný
make-up,makeup
wes,wes
reduced,snížený
t.,t.
whisper,šepot
pressing,lisování
tops,vrcholy
variety,odrůda
ignored,ignorováno
helena,helena
writers,spisovatelé
grain,obilí
essentially,v podstatě
archie,Archie
ofthe,finan
individuals,Jednotlivci
meredith,Meredith
gavin,Gavin
subtle,jemný
interviews,rozhovory
pinky,malíček
cord,šňůra
sites,weby
brennan,Brennan
maddie,Maddie
vienna,Vídeň
issued,vydal
lasted,trval
explosive,explozivní
origin,původ
unto,k
rogue,darebák
x-ray,rentgen
superintendent,vrchní dozorce
cody,Cody
jacques,Jacques
ol,ol
challenges,výzvy
corruption,korupce
sullivan,Sullivan
shutter,uzávěrka
erase,vymazat
ski,lyže
forensics,forenzní
flavor,příchuť
fastest,nejrychlejší
joon,Joon
vet,zvěrolékař
civilians,civilisté
lobster,humr
housing,bydlení
canal,kanál
robots,roboty
shade,odstín
ambitious,ambiciózní
orchestra,orchestr
succeeded,uspěl
guidance,vedení
hence,proto
bella,bella
seoul,soul
jose,jose
inevitable,nevyhnutelný
tick,klíště
rival,soupeřit
refuses,odmítá
fiancÃ©,fiancÃ ©
purchase,nákup
wander,bloudit
ireland,Irsko
hanna,Hanna
hanged,oběšený
napoleon,Napoleon
elite,elita
craft,řemeslo
cult,kult
whisky,whisky
profits,zisky
shelf,police
kai,kai
allowing,dovolovat
chart,schéma
accusing,vyčítavě
buzzes,bzučí
weekends,víkendy
humiliated,ponížený
fiancÃ©e,fiancÃ © e
hissing,syčící
treats,zachází
granddaughter,vnučka
serena,serena
submit,Předložit
supervisor,dozorce
sniffing,čichání
resident,rezident
tearing,trhání
obliged,povinen
opportunities,příležitosti
knights,rytíři
hangs,visí
jerusalem,Jeruzalém
stew,dusit
counted,počítá
instruments,nástroje
triumph,triumf
nun,jeptiška
frequency,frekvence
resume,životopis
marines,mariňáci
distract,rozptýlit
satisfaction,spokojenost
historical,historický
creates,vytváří
costumes,kostýmy
swedish,švédský
lizzie,Lizzie
depending,V závislosti
sour,kyselý
spark,jiskra
freely,svobodně
scotty,scotty
freaks,zrůdy
d.a.,D. A.
shan,shan
globe,zeměkoule
peak,vrchol
sentenced,odsouzena
fierce,divoký
scam,podvod
hollow,dutý
anton,anton
hoo,hoo
concentration,koncentrace
presume,předpokládat
invest,investovat
eleanor,Eleanor
radical,radikální
protective,ochranný
smiles,úsměvy
stunning,ohromující
frustrated,frustrovaný
suspenseful,napínavý
breed,plemeno
adore,uctívat
controlling,ovládání
reagan,Reagan
pasta,těstoviny
precinct,okrsek
swallowed,spolkl
execute,vykonat
4th,4.
towels,ručníky
architect,architekt
delta,delta
honks,zatroubí
whoo-hoo,Whoo-hoo
preserve,zachovat
dose,dávka
stove,sporák
codes,kódy
instantly,okamžitě
bugger,prevít
vivian,vivian
yoon,Yoon
doo,doo
haul,dopravovat
orphanage,sirotčinec
bolt,šroub
autograph,autogram
sharply,ostře
habits,zvyky
villagers,vesničané
cracks,trhliny
dwight,Dwight
omar,Omar
assembly,shromáždění
meds,léky
marge,Marge
magnetic,magnetický
romans,Římané
joshua,Joshua
sorted,tříděný
assets,aktiva
insulted,uražený
outstanding,vynikající
essence,podstata
wardrobe,šatník
ling,ling
nam,nam
benson,Benson
restaurants,restaurace
disco,disko
flirting,flirtující
abilities,schopnosti
dolly,panenka
handful,hrst
mice,myši
pumpkin,dýně
bennett,Bennett
sweating,pocení
anchor,Kotva
thankful,vděčný
interior,interiér
moore,Moore
urge,naléhat
surrounding,okolní
strain,kmen
curtains,Závěsy
gypsy,Cikán
tomato,rajče
blanche,blanche
bonds,vazby
compassion,soucit
greece,Řecko
ceo,výkonný ředitel
arabic,arabština
examination,zkouška
participate,účastnit se
veins,žíly
cups,poháry
additional,další
sofia,sofia
obsession,posedlost
responsibilities,odpovědnost
ridge,hřbet
intent,úmysl
axe,sekera
reckless,bezohledný
missiles,střely
razor,Břitva
corners,zatáčky
frightening,děsivý
rains,deště
mutant,mutant
wally,wally
whereas,zatímco
heavenly,nebeský
promoted,povýšený
dang,dang
maiden,dívčí
comments,komentáře
batteries,baterie
bark,kůra
seas,moře
congressman,poslanec
canyon,kaňon
casual,neformální
rack,nosič
expectations,očekávání
flowing,tekoucí
adjust,upravit
decade,desetiletí
pine,borovice
tails,frak
baxter,Baxter
wires,dráty
pigeon,holub
finance,finance
respectable,slušný
demonstration,demonstrace
prank,žert
appointed,jmenovaný
treason,zrada
views,pohledy
violin,housle
stir,míchat
lifestyle,životní styl
realm,oblast
monty,monty
roosevelt,roosevelt
missy,missy
fitting,vybavení
seÃ±or,SEA ± nebo
tuna,tuňák
tuck,zastrčit
inspection,inspekce
nursing,ošetřovatelství
jared,Jared
poop,kadit
cardinal,kardinál
altar,oltář
herman,herman
carlo,carlo
tourist,turista
conviction,přesvědčení
jelly,želé
thrill,vzrušení
lounge,hala
cha,cha
zip,zip
hogan,hogan
dimension,dimenze
choke,dávit se
backing,podpora
pains,bolesti
bodyguard,osobní strážce
rug,koberec
jaw,čelist
ants,mravenci
popcorn,pražená kukuřice
courtroom,soudní síň
reynolds,reynolds
pointless,nesmyslný
documentary,dokumentární
donor,dárce
mortgage,hypotéka
tunnels,tunely
enforcement,vynucení
demanding,náročný
cocks,kohouty
eliminated,eliminovány
agh,AGH
rapidly,rychle
refer,odkázat
shipment,náklad
tasted,ochutnal
fails,selže
michel,Michel
rushed,spěchal
ordering,objednávání
efficient,účinný
outrageous,pobuřující
gracious,milostivý
slaughter,porážka
marijuana,marihuana
monroe,Monroe
pipes,trubky
backed,couval
vest,vesta
approached,blížil
mechanic,mechanik
mumbai,Mumbai
arizona,arizona
legendary,legendární
delayed,opožděný
resolve,odhodlání
relation,vztah
amelia,Amélie
mechanical,mechanický
fare,jízdné
karma,karma
jefferson,jefferson
chorus,refrén
nana,nana
extend,rozšířit
info,info
saddle,sedlo
pretended,předstíral
equals,rovná se
motherfuckers,svině
artificial,umělý
accomplish,dokončit
burial,pohřbení
lynn,Lynn
detention,zadržení
vow,přísaha
bake,upéct
breakdown,zhroutit se
dvd,DVD
delhi,dillí
selected,vybraný
lightly,lehce
em,em
dealers,Prodejci
e.,E.
layer,vrstva
gown,talár
courtney,Courtney
incoming,přicházející
reid,reid
countryside,venkov
cheaper,levnější
smelled,vonělo
devon,devon
ducks,Kachny
lethal,smrtící
swan,labuť
attending,navštěvovat
moonlight,měsíční svit
ropes,lana
dispatch,odeslání
notebook,zápisník
punched,děrované
identification,identifikace
contracts,smlouvy
scattered,roztroušený
trusting,důvěřivý
susie,Susie
prayed,modlil
volunteers,dobrovolníci
remembering,vzpomínání
adopt,přijmout
calvin,Calvin
worms,červi
consideration,úvaha
bandits,bandité
moses,moses
zombies,zombies
lionel,Lionel
non,non
transplant,transplantace
crackling,praskání
loneliness,osamělost
frasier,Frasier
epic,epické
gladly,rád
marcel,Marcel
mon,pondělí
frost,mráz
registration,Registrace
prophet,prorok
launched,zahájen
constitution,ústava
roland,roland
claude,claude
sock,ponožka
dragons,Draci
buyer,kupující
regulations,předpisy
mimi,mimi
volcano,sopka
accomplice,spolupachatel
bounty,štědrost
hotels,hotely
favors,laskavosti
opinions,názory
pressed,stisknutí
asylum,azyl
blunt,otupit
duel,souboj
niles,Niles
consult,poradit se
nevertheless,nicméně
carnival,karneval
au,au
baba,baba
hah,Cha
paths,cesty
rides,vyjížďky
tray,podnos
cynthia,Cynthia
te,te
handcuffs,želízka
shannon,Shannon
barrier,bariéra
supposedly,údajně
faggot,otýpka
hunch,tušení
disposal,likvidace
yacht,jachta
stain,skvrna
thoughtful,ohleduplný
healed,vyléčit
thinkin,Přemýšlel
syndrome,syndrom
hairy,chlupatý
kansas,Kansas
happiest,nejšťastnější
entertain,bavit
y-you,y-you
ambush,nástraha
recommended,doporučuje
childish,dětinský
meter,Metr
gilbert,Gilbert
lease,pronájem
climbed,vyšplhal
nadia,Nadia
unstable,nestabilní
exploded,explodovala
apollo,apollo
rogers,Rogers
politician,politik
rs,rs
awaits,čeká
abraham,Abraham
evelyn,Evelyn
particles,částice
violation,porušení
lined,linkovaný
amazed,úžas
lure,návnada
lyrics,text
pod,lusk
fran,fran
universal,univerzální
d.c.,DC.
hulk,vrak
drunken,opilý
hyah,Hyjé
continuing,pokračovat
goals,cíle
warming,zahřívání
dc,DC
chemicals,Chemikálie
owl,sova
xena,Xena
compromised,ohrožena
grounded,uzemněn
cane,třtina
avenge,pomstít
dexter,dexter
phantom,přízrak
notion,představa
directors,režiséři
tease,vtipálek
forensic,forenzní
doe,srna
outcome,výsledek
slam,slam
shattered,rozbila
cheque,šek
baked,pečený
sought,usilovat
racket,raketa
hammond,hammond
rider,jezdec
exotic,exotický
cory,Cory
extent,rozsah
eighth,osmý
stack,zásobník
wheat,pšenice
shipping,Lodní doprava
satisfy,uspokojit
kara,kara
departure,odchod
finch,pěnkava
blocking,blokování
regiment,pluk
kin,příbuzní
klaus,klaus
surf,surfovat
kilometers,kilometry
rises,vychází
frighten,vystrašit
abused,zneužívané
gerald,Gerald
colours,barvy
hath,kterýž
marvin,Marvin
texts,texty
spaghetti,špagety
chester,Chester
bosses,bludiště
elephants,sloni
snarling,vrčící
contained,obsahoval
laurie,laurie
arab,Arab
bumped,naražený
chili,chili
yah,Jo
sustained,s prodlouženým
abducted,uneseni
panicked,panický
shallow,mělký
diving,potápění
artie,Artie
harriet,Harriet
generator,generátor
federation,federace
mulder,Mulder
arresting,aretace
techniques,techniky
feather,Pírko
printed,tištěný
untie,rozvázat
jupiter,Jupiter
hay,seno
stalking,stalking
conrad,Conrad
phony,falešný
brett,Brett
whack,rána
scored,skóroval
continent,kontinent
articles,články
oxford,Oxford
z,z
organize,organizovat
sensors,senzory
shanghai,Šanghaj
wh,wh
sniper,odstřelovač
noisy,hlučný
framed,zarámovaný
horizon,horizont
twilight,soumrak
reflection,odraz
masks,masky
godfather,kmotr
merchant,obchodník
wages,mzda
robe,župan
waist,pás
stinking,páchnoucí
disappointment,zklamání
venture,dobrodružství
voyage,cesta
curry,kari
ominous,zlověstný
sunlight,slunečnímu záření
oui,oui
overseas,zámoří
casualties,ztráty
aaah,Aaah
mattress,matrace
grill,gril
marketing,marketing
accepting,přijímání
occupation,obsazení
deadline,Uzávěrka
freed,Freed
exhibit,exponát
poems,básně
echoing,ozvěn
shin,holeň
compliments,pozdrav
til,til
define,definovat
urine,moč
foreman,předák
facial,obličejový
p.a.,p.a.
combined,kombinovaný
brody,Brody
probation,zkouška
reject,odmítnout
catches,úlovky
dances,tance
gemma,pupen
pinch,štípnutí
ingredients,přísady
ra,ra
hurricane,hurikán
chatting,chatování
mini,mini
heel,pata
adding,přidání
bandit,bandita
destined,určený
limo,limonáda
spa,lázně
graves,hroby
turkish,turečtina
listed,uvedeny
corpses,mrtvoly
matty,matty
evacuate,evakuuji
publish,publikovat
judith,judith
banned,zakázán
snaps,zaskočí
cheeks,tváře
predict,předpovědět
ohio,Ohio
holland,Holandsko
confront,konfrontovat
utterly,naprosto
pals,kamarádi
pilots,piloti
umm,umm
jonah,Jonáš
ironic,ironický
improved,zlepšil
popping,praskání
mills,mlýny
farther,dál
delivering,dodávající
skipper,kapitán
flattered,polichocen
coconut,kokosový ořech
acknowledge,potvrdit
shuts,zavírá
sweden,Švédsko
hooray,hurá
sip,popíjet
blessings,požehnání
grocery,potraviny
terminal,terminál
parks,parky
